,Content
0,"Le locataire devra jouir des locaux en bon père de famille et s'interdit d'introduire toutes personnes troublantes ou toutes matières dangereuses pour la sécurité de l'immeuble ou des voisins.
"
1,"Ce contrat peut être résilié dans les circonstances suivantes :
Résiliation par le Locataire : Le locataire peut résilier ce contrat en fournissant un préavis écrit de son intention de quitter la propriété. Le locataire doit continuer à payer les loyers et charges jusqu'à la fin du contrat.
Résiliation par le Propriétaire : Le propriétaire peut résilier ce contrat en cas de non-paiement du loyer, violation des termes du contrat, ou pour d'autres raisons légales conformément à la loi en vigueur. Le propriétaire doit donner un préavis écrit au locataire.
2
"
2,"Toute infraction à l'une des dispositions du présent contrat par le locataire, entraînera sa résiliation pure et simple et donne au propriétaire le droit à des dommages et intérêts.
"
3,"Pour l'exécution des présentes, les parties font élection de domicile, chacune à sa demeure.
"
4,"En cas de non-paiement d'un seul terme de loyer, le présent bail sera résilié de plein droit, sans qu'il soit nécessaire de recourir à la justice, le locataire demeure astreint notamment du reliquat du loyer annuel.
"
5,"Le locataire s'oblige à remettre à la signature de la présente, en dépôt à titre de cautionnement de {21} dinars. Ce montant sera restitué au locataire après l'expiration ou la résiliation du présent bail après avoir fait une inspection des lieux et s'assurer de leur garde en bon état.
Toute somme dépensée pour les réparations ou entretiens s'avérant nécessaires à la remise en
"
6,"Le locataire reconnaît que la propriété louée est {11}. En cas de meublé, le locataire s'engage à conserver les meubles et équipements en bon état, sauf usure normale. En cas de non-meublé, le locataire est responsable de ses propres meubles et effets personnels. ARTICLE 6 : Le locataire reconnaît avoir reçu les lieux en (très bon) état et s'engage à les rendre en (très bon) état. A l'expiration du bail, le locataire sera responsable de toutes les dégradations qui se produisent par sa faute ou sa négligence dans l'entretien des lieux.
"
7,"Le locataire s'engage à assumer les frais et charges associés à la location de la propriété, y compris, sans s'y limiter :
1. Frais d'entretien et de Syndic : Cela inclut les frais liés à l'entretien périodique des équipements, de l'immeuble, et les frais de syndic, le cas échéant.
2. Frais de consommation: Les coûts liés à la consommation d'eau, d'électricité et d'autres services publics ou privés utilisés dans la propriété.
3. Frais administratifs : Les frais liés aux formalités administratives, tels que les frais de timbre, d'enregistrement, et les taxes municipales.
4. Taxes et Redevances : Toute taxe, redevance ou autre coût imposé par les autorités locales ou nationales en rapport avec la propriété louée.
Le locataire s'engage à payer ces frais en temps voulu, conformément aux conditions spécifiées dans le présent contrat.
"
8,"Le locataire ne pourra en aucun cas réclamer une diminution du loyer pour les inconvénients ou troubles résultant des grosses réparations effectuées éventuellement par le locataire. Toute transformation ou modification que le locataire envisage d'effectuer dans les locaux est soumise à l'accord écrit et préalable du propriétaire.
"
9,"En cas de dégâts causés par les infiltrations d'eau, le locataire procède aux réparations nécessaires, et ne pourra en aucun cas réclamer autre que les dépenses justifiées et préalablement agréées par le propriétaire.
"
10,"Le locataire devra jouir des locaux en bon père de famille et s'interdit d'introduire toutes personnes troublantes ou toutes matières dangereuses pour la sécurité de l'immeuble ou des voisins.
"
