,Content
0,"La Société {1}, engage aux termes du présent contrat de travail {7} {8}, qui l'accepte, de travailler en qualité de {15}.
Le présent contrat sera régi par les dispositions légales, réglementaires et conventionnelles applicables au secteur d'activité.
"
1,"Le présent contrat est conclu et accepté pour un horaire de travail de {19} heures par semaine.
"
2,"Le présent contrat est conclu et accepté pour une durée d'une année renouvelable commençant le {16} et finissant le {17}.
"
3,"En contrepartie de l'accomplissement de ses fonctions, {7} {8} percevra un salaire fixe mensuel net de {18} dinars."
4,"L'employé travaillera {19} heures par semaine et aura droit à vingt et un (21) jours ouvrables de congé payé par an. Les dates de congé seront convenues en consultation avec l'employeur et peuvent être ajustées en fonction des besoins de l'entreprise. L'employé s'engage à effectuer des heures supplémentaires à la demande de l'employeur, conformément à la législation en vigueur, et ces heures supplémentaires seront rémunérées ou récupérées selon les règlements en vigueur.
"
5,"{7} {8} s'engage formellement :
A consacrer tout son temps au service où il est affecté, suivant l'horaire établi par la direction de l'établissement.
-
A se conformer aux instructions qui lui seront données par les personnes sous les ordres desquelles il est placé.
- A observer le secret professionnel et à ne faire, sans l'autorisation écrite de ses chefs, aucune communication écrite ou verbale à des tiers sur les questions se rattachant aux travaux pour lesquels il est engagé.
- A prendre soin du matériel qui lui sera confié.
- Et d'une façon générale à respecter les lois et règlements généraux ou particuliers en vigueur. 
"
6,"Le salarié s'engage à maintenir la confidentialité de toutes les informations, données, et connaissances auxquelles il a accès pendant l'exécution de son contrat de travail. Il ne divulguera ni n'utilisera ces informations à des fins personnelles ou pour l'avantage d'une tierce partie.
"
7,"{7} {8} déclare formellement n'être lié(e) à aucune autre entreprise, être libre de tout engagement.
En outre, {7} {8} s'engage à faire connaître, sans délai, tout changement qui interviendrait dans sa situation, concernant son adresse et sa situation familiale."
8,"Les parties font élection de domicile en leurs demeures respectives désignées aux présentes et donnent attribution de compétence aux tribunaux de Tunis.
"
9,Les frais d'enregistrement du présent contrat et les droits de timbres sont à la charge de la Société {1}.
