,Content
0,"Pendant la durée de son emploi et pour une période de [insérez la durée, par exemple, 12 mois] après la fin de son emploi, l'employé ne doit pas s'engager, directement ou indirectement, dans une activité concurrente à celle de l'entreprise ni travailler pour des concurrents de l'entreprise. Cette clause vise à protéger les intérêts légitimes de l'employeur.
"
1,"L'élection de domicile des parties est faite à leurs adresses respectives mentionnées dans le présent contrat. Toute modification d'adresse devra être notifiée par écrit à l'autre partie. Les parties conviennent que tout acte, notification ou communication émanant de ce contrat pourra être valablement fait à l'adresse de la partie concernée.
"
2,"Pour tout litige découlant du présent contrat de travail, les parties conviennent que la compétence juridique est attribuée aux tribunaux de Tunis.
Les parties renoncent à tout autre tribunal qui pourrait avoir compétence en la matière.
"
3,"Les frais d'enregistrement du présent contrat et les droits de timbre sont à la charge de la société {283}, qui s'engage à effectuer toutes les formalités nécessaires à l'enregistrement dans les délais légaux. Toutefois, en cas de changement de cette répartition des frais en vertu de la loi, les parties s'engagent à se conformer aux dispositions légales en vigueur."
4,"L'employeur, engage aux termes du présent contrat de travail la personne employée, qui l'accepte, de travailler en qualité de {16}.
L'employeur se réserve le droit d'affecter le/la salarié(e) à une autre fonction et ce, selon les besoins de l'employeur et en considération de la formation et des qualifications du/de la salarié(e).
Le présent contrat sera régi par les dispositions légales, réglementaires et conventionnelles applicables au secteur d'activité.
"
5,La date du début de l'exécution du présent contrat de travail est fixée au {298}.
6,"Le présent contrat peut être résilié pour les raisons suivantes, sans s'y limiter :
•
Inaptitude professionnelle ou insuffisance de rendement.
• Violation grave du règlement intérieur.
•
Comportement ou attitude préjudiciable à l'entreprise.
• Faute lourde, indiscipline manifeste, refus d'obéir aux ordres, ou refus de réaliser les
tâches assignées.
• Divulgation de secrets professionnels.
En cas de non-respect d'une clause du contrat ou de toute faute grave de l'employé, ce dernier s'expose à une sanction disciplinaire pouvant entraîner la résiliation immédiate du contrat, sans préavis ni indemnité, conformément à la législation en vigueur. Le contrat peut également être résilié à l'initiative de l'une des deux parties, moyennant un préavis de trois (3) mois.
"
7,"L'employé travaillera {302} heures par semaine et aura droit à vingt et un (21) jours ouvrables de congé payé par an. Les dates de congé seront convenues en consultation avec l'employeur et peuvent être ajustées en fonction des besoins de l'entreprise. L'employé s'engage à effectuer des heures supplémentaires à la demande de l'employeur, conformément à la législation en vigueur, et ces heures supplémentaires seront rémunérées ou récupérées selon les règlements en vigueur.
"
8,"L'employé reconnaît qu'il peut avoir accès à des informations sensibles et confidentielles de l'entreprise. Par conséquent, l'employé s'engage à maintenir la confidentialité de toutes ces informations et à ne pas les divulguer à des tiers, que ce soit pendant ou après la durée de son emploi.
"
9,"Toutes les créations, œuvres, inventions ou développements, réalisés par l'employé dans le cadre de ses fonctions au sein de l'entreprise, appartiennent exclusivement à l'entreprise. L'employé s'engage à informer immédiatement l'entreprise de toute création pouvant entrer dans cette catégorie et à prendre toutes les mesures nécessaires pour transférer tous les droits de propriété intellectuelle à l'entreprise."
10,"La durée de travail est de {19} heures par semaine.
"
11,"Le salaire brut est fixé à {20} dinars, payable après déduction faite des charges sociales et fiscales prévues par la loi.
"
12,"L'employé, ci-après dénommé ""le Salarié,"" s'engage formellement à respecter les obligations professionnelles suivantes :
1. Dévouement exclusif: Le Salarié consacrera tout son temps, son énergie et ses compétences au service de l'employeur et s'acquittera de ses tâches et responsabilités conformément à l'horaire de travail établi par la direction de l'entreprise.
2. Conformité aux directives : Le Salarié se conformera aux instructions et directives données par les personnes sous les ordres desquelles il est placé, notamment les supérieurs hiérarchiques, les responsables de département et autres autorités compétentes.
3. Secret professionnel : Le Salarié observera rigoureusement le secret professionnel et ne divulguera aucune information confidentielle ou sensible à des tiers, que ce soit par écrit ou verbalement, sans l'autorisation écrite préalable de ses supérieurs hiérarchiques ou dûment autorisés par l'employeur. Cette obligation de confidentialité persiste même après la cessation de l'emploi.
4. Soin du matériel: Le Salarié prendra soin du matériel, des équipements et des
ressources mis à sa disposition dans le cadre de ses fonctions. Tout dommage causé par une négligence délibérée ou un comportement imprudent sera à la charge du Salarié. 5. Respect des lois et règlements: Le Salarié respectera l'ensemble des lois et règlements généraux ou particuliers en vigueur dans l'exercice de ses fonctions.
"
13,"L'employé ne peut s'absenter du travail sans autorisation préalable écrite de l'employeur. En cas d'absence pour des raisons exceptionnelles, telles que le décès, un accident, la maladie d'un membre de la famille, ou des convocations administratives personnelles, l'employé doit immédiatement informer l'employeur, en respectant un délai maximum de 48 heures. Toute absence non justifiée dans les 48 heures sera considérée comme une violation du contrat et pourrait entraîner sa résiliation."
